Neighborhood with Borough,School Rating,Population - White,Population - Black,Population - Asian,Population - Hispanic,Population - Hawaiian,Population - Indian,Average Rent
Wakefield * Bronx,5,50481,4369,4995,3278,924,991,2664
Co-op City * Bronx,10,19200,4479,4376,5702,996,815,2564
Eastchester * Bronx,7,14354,3788,5554,8710,682,617,5158
Fieldston * Bronx,5,24809,1257,4052,9772,171,997,3868
Riverdale * Bronx,10,43101,5624,3387,13538,136,409,4557
Kingsbridge * Bronx,5,16072,5878,789,6075,656,952,5490
Marble Hill * Manhattan,5,26109,5682,3019,3622,628,160,2775
Woodlawn * Bronx,6,19444,3998,6088,9175,375,688,4687
Norwood * Bronx,10,25941,4973,4126,1896,394,618,4513
Williamsbridge * Bronx,7,34644,6103,3776,11868,685,718,4170
Baychester * Bronx,7,20573,5718,4676,6107,345,774,5048
Pelham Parkway * Bronx,5,19472,3676,3370,13088,755,704,5734
City Island * Bronx,9,69488,3019,6219,2436,790,635,5214
Bedford Park * Bronx,9,60899,2343,4844,3538,981,263,5234
University Heights * Bronx,10,59469,4650,6157,12024,168,902,1851
Morris Heights * Bronx,9,49411,3833,5683,4629,359,550,4116
Fordham * Bronx,7,48268,991,4617,6245,238,533,5098
East Tremont * Bronx,10,39408,670,3170,4486,148,527,4336
West Farms * Bronx,5,33688,1103,3304,2024,419,611,4216
High Bridge * Bronx,5,22134,5686,2540,3763,623,987,4441
Melrose * Bronx,10,33760,4735,1017,12068,343,656,4119
Mott Haven * Bronx,7,11043,6423,1426,14698,487,236,4113
Port Morris * Bronx,7,52721,6977,4945,3802,499,200,5719
Longwood * Bronx,5,29803,4751,4797,11920,655,572,2758
Hunts Point * Bronx,9,19925,1735,1628,12493,543,280,5759
Morrisania * Bronx,10,10863,5649,1969,7627,463,284,4404
Soundview * Bronx,10,57235,2530,6295,10143,703,383,3750
Clason Point * Bronx,8,73547,3817,5106,5456,230,715,3928
Throgs Neck * Bronx,10,71393,6989,3693,6903,229,660,2889
Country Club * Bronx,8,45299,6333,3893,12191,605,566,3281
Parkchester * Bronx,10,73540,4852,983,9350,189,776,3190
Westchester Square * Bronx,7,41915,3409,2609,13547,121,263,3891
Van Nest * Bronx,8,19945,4273,5098,10590,568,750,2794
Morris Park * Bronx,7,52639,1036,2799,2197,719,409,4031
Belmont * Bronx,6,18202,4501,708,4035,346,251,2247
Spuyten Duyvil * Bronx,9,26964,5076,3795,12664,704,838,2473
North Riverdale * Bronx,6,50138,4858,2155,6134,929,403,5149
Pelham Bay * Bronx,6,65515,4646,6023,2327,572,262,5161
Schuylerville * Bronx,5,60297,2273,4975,14469,348,644,1833
Edgewater Park * Bronx,6,33011,2018,3610,8935,208,405,3122
Castle Hill * Bronx,7,40129,5929,5747,6156,186,271,2405
Olinville * Bronx,10,34987,1764,3405,5692,551,464,3889
Pelham Gardens * Bronx,7,45479,2961,808,9347,904,774,3162
Concourse * Bronx,5,14338,3032,6477,11907,832,713,2922
Unionport * Bronx,5,25841,4888,2731,9460,150,220,4148
Edenwald * Bronx,6,70004,1436,2570,6496,779,540,1846
Bay Ridge * Brooklyn,6,36309,1107,5015,5358,438,514,3242
Bensonhurst * Brooklyn,5,35579,4635,6236,12884,655,984,4184
Sunset Park * Brooklyn,9,69787,2116,3930,13302,940,477,2280
Greenpoint * Brooklyn,5,17526,6978,1705,1830,639,827,3595
Gravesend * Brooklyn,8,57982,6756,1621,14821,534,768,1883
Brighton Beach * Brooklyn,7,34956,2112,4081,14850,954,466,4185
Sheepshead Bay * Brooklyn,7,17391,4397,5000,8415,545,385,5487
Manhattan Terrace * Brooklyn,7,33660,3923,4440,4833,387,639,5636
Flatbush * Brooklyn,5,70754,1817,2805,8967,434,843,4548
Crown Heights * Brooklyn,9,14938,3656,4294,10629,749,566,5562
East Flatbush * Brooklyn,9,29480,4989,3595,11261,317,932,2019
Kensington * Brooklyn,8,70804,4558,4121,12636,359,355,5319
Windsor Terrace * Brooklyn,10,13871,4255,1681,7522,678,387,3401
Prospect Heights * Brooklyn,7,43028,3668,3013,13398,287,964,4554
Brownsville * Brooklyn,10,56772,3479,1009,4260,737,433,5256
Williamsburg * Brooklyn,9,71202,4104,3521,13345,407,812,5459
Bushwick * Brooklyn,6,25661,6679,682,12773,449,249,4878
Bedford Stuyvesant * Brooklyn,8,65133,5299,5591,13873,705,811,3222
Brooklyn Heights * Brooklyn,9,58593,4346,4542,8212,206,670,4245
Cobble Hill * Brooklyn,10,17224,4141,880,12000,150,768,5220
Carroll Gardens * Brooklyn,5,53979,6132,1141,4001,679,488,3847
Red Hook * Brooklyn,10,70248,1682,2568,10835,523,354,5560
Gowanus * Brooklyn,10,11284,6620,1785,6963,862,540,3281
Fort Greene * Brooklyn,6,61709,3913,4242,12741,486,279,5843
Park Slope * Brooklyn,8,10859,5418,3841,5442,297,819,2047
Cypress Hills * Brooklyn,7,26911,3821,5202,13209,389,386,4989
East New York * Brooklyn,9,70213,4559,6084,9097,107,693,1967
Starrett City * Brooklyn,7,62831,2374,1624,2416,250,266,3877
Canarsie * Brooklyn,8,69936,2272,940,11285,633,515,2722
Flatlands * Brooklyn,5,12214,5522,6062,13773,938,901,5246
Mill Island * Brooklyn,9,22303,6482,2882,2041,414,830,4833
Manhattan Beach * Brooklyn,9,46174,1566,1941,4497,284,371,5647
Coney Island * Brooklyn,8,57640,1950,2392,12251,936,975,4552
Bath Beach * Brooklyn,8,61428,1009,1418,10808,195,643,4142
Borough Park * Brooklyn,6,12963,2229,3750,8466,667,412,2805
Dyker Heights * Brooklyn,7,27817,5308,2628,4112,791,809,4183
Gerritsen Beach * Brooklyn,6,48421,4904,3830,11287,605,236,3867
Marine Park * Brooklyn,7,24046,2401,4505,8535,331,691,5897
Clinton Hill * Brooklyn,6,25526,4652,2528,3572,81,563,4824
Sea Gate * Brooklyn,6,72205,1940,2683,12386,690,465,1960
Downtown * Brooklyn,8,49568,5275,4647,10544,187,599,5035
Boerum Hill * Brooklyn,9,21320,5960,2286,3247,474,780,3110
ect Lefferts Gardens * Brooklyn,9,28856,6708,4840,7090,731,499,5289
Ocean Hill * Brooklyn,8,69854,4612,6439,2453,327,757,2755
City Line * Brooklyn,6,59231,5724,4869,4203,602,954,5385
Bergen Beach * Brooklyn,7,29617,3557,1791,1890,846,726,4809
Midwood * Brooklyn,5,37710,4008,5207,7674,292,483,3335
Prospect Park South * Brooklyn,8,24421,5810,3800,1681,350,840,4755
Georgetown * Brooklyn,8,57431,1436,2319,8729,947,285,2606
East Williamsburg * Brooklyn,8,11613,709,5085,5248,784,901,5320
North Side * Brooklyn,8,21897,5140,1665,4872,325,451,3000
South Side * Brooklyn,7,60816,4951,6287,13105,179,986,4258
Ocean Parkway * Brooklyn,9,45323,5649,2475,8614,294,800,2552
Fort Hamilton * Brooklyn,8,41379,4961,2845,13492,115,630,4682
Chinatown * Manhattan,7,48331,1643,6453,8163,285,327,5126
Washington Heights * Manhattan,5,27577,1156,3208,5306,191,698,3547
Inwood * Manhattan,8,9083,2459,1214,13028,658,666,3909
Hamilton Heights * Manhattan,9,28898,1070,1442,2071,762,964,5650
Manhattanville * Manhattan,6,22696,1809,3090,10347,310,852,5683
Central Harlem * Manhattan,7,22262,4186,3876,3528,556,831,4913
East Harlem * Manhattan,7,73664,2922,4423,12464,540,876,4602
Upper East Side * Manhattan,10,44607,5570,3031,8782,390,399,2083
Yorkville * Manhattan,9,44023,3889,2106,8730,330,198,3714
Lenox Hill * Manhattan,9,62690,3533,2642,9636,514,322,4766
Roosevelt Island * Manhattan,5,55183,6699,1019,6919,534,526,5596
Upper West Side * Manhattan,7,10837,3965,5859,13652,738,996,5157
Lincoln Square * Manhattan,8,73382,3823,983,9536,333,827,3865
Clinton * Manhattan,8,70584,4486,1620,8781,129,556,5933
Midtown * Manhattan,10,49573,4841,1905,14419,141,817,2445
Murray Hill * Manhattan,8,44866,4781,4982,3455,974,737,2861
